,title,artist,region,date,stream,Rank
361,Unforgettable,"French Montana, Swae Lee",Canada,2017-09,4352078,2
362,Look What You Made Me Do,Taylor Swift,Canada,2017-09,3945531,3
363,1-800-273-8255,"Logic, Alessia Cara, Khalid",Canada,2017-09,3791380,4
364,Havana,"Camila Cabello, Young Thug",Canada,2017-09,3711322,5
365,Silence,"Marshmello, Khalid",Canada,2017-09,3625912,6
366,Mi Gente,"J Balvin, Willy William",Canada,2017-09,3605447,7
367,Bank Account,21 Savage,Canada,2017-09,3513229,8
368,XO Tour Llif3,Lil Uzi Vert,Canada,2017-09,3375578,9
369,Friends (with BloodPop®),Justin Bieber,Canada,2017-09,3314912,10
370,God's Plan,Drake,Canada,2018-02,10429887,1
371,All The Stars (with SZA),Kendrick Lamar,Canada,2018-02,4801897,2
372,Pray For Me (with Kendrick Lamar),The Weeknd,Canada,2018-02,4621421,3
373,Look Alive (feat. Drake),BlocBoy JB,Canada,2018-02,4117379,4
374,rockstar,"Post Malone, 21 Savage",Canada,2018-02,3845162,5
375,Mine,Bazzi,Canada,2018-02,3288677,6
376,Havana (feat. Young Thug),Camila Cabello,Canada,2018-02,3179907,7
377,River (feat. Ed Sheeran),Eminem,Canada,2018-02,3044458,8
378,Stir Fry,Migos,Canada,2018-02,2990447,9
379,I Fall Apart,Post Malone,Canada,2018-02,2858069,10
380,drivers license,Olivia Rodrigo,Canada,2021-01,10484596,1
381,Good Days,SZA,Canada,2021-01,4198502,2
382,Mood (feat. iann dior),24kGoldn,Canada,2021-01,4015724,3
383,Anyone,Justin Bieber,Canada,2021-01,3904128,4
384,Whoopty,CJ,Canada,2021-01,3734050,5
385,WITHOUT YOU,The Kid LAROI,Canada,2021-01,3719167,6
386,Levitating (feat. DaBaby),Dua Lipa,Canada,2021-01,3556788,7
387,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,Canada,2021-01,3138969,8
388,Save Your Tears,The Weeknd,Canada,2021-01,3027216,9
389,Blinding Lights,The Weeknd,Canada,2021-01,3025572,10
390,MONTERO (Call Me By Your Name),Lil Nas X,Canada,2021-04,8977018,1
391,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Canada,2021-04,8653590,2
392,RAPSTAR,Polo G,Canada,2021-04,6229772,3
393,Astronaut In The Ocean,Masked Wolf,Canada,2021-04,5597517,4
394,Levitating (feat. DaBaby),Dua Lipa,Canada,2021-04,4600721,5
395,deja vu,Olivia Rodrigo,Canada,2021-04,4296241,6
396,Kiss Me More (feat. SZA),Doja Cat,Canada,2021-04,4240499,7
397,drivers license,Olivia Rodrigo,Canada,2021-04,3420563,8
398,Calling My Phone,"Lil Tjay, 6LACK",Canada,2021-04,3355725,9
399,Hold On,Justin Bieber,Canada,2021-04,3270215,10
400,Dura,Daddy Yankee,Chile,2018-03,6233165,1
401,X,"Nicky Jam, J Balvin",Chile,2018-03,5832754,2
402,Bella,Wolfine,Chile,2018-03,5522255,3
403,Me Niego (feat. Ozuna & Wisin),Reik,Chile,2018-03,5338377,4
404,Amorfoda,Bad Bunny,Chile,2018-03,5200086,5
405,La player (Bandolera),Zion & Lennox,Chile,2018-03,5068487,6
406,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Chile,2018-03,4943034,7
407,Dembow,Danny Ocean,Chile,2018-03,4086271,8
408,Síguelo Bailando,Ozuna,Chile,2018-03,3978063,9
409,Échame La Culpa,"Luis Fonsi, Demi Lovato",Chile,2018-03,3640703,10
410,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Chile,2018-05,7973158,1
411,La player (Bandolera),Zion & Lennox,Chile,2018-05,5743512,2
412,X,"Nicky Jam, J Balvin",Chile,2018-05,5158468,3
413,Me Niego (feat. Ozuna & Wisin),Reik,Chile,2018-05,4805607,4
414,Dura - Remix,"Daddy Yankee, Natti Natasha, Becky G, Bad Bunny",Chile,2018-05,4403644,5
415,Madura (feat. Bad Bunny),Cosculluela,Chile,2018-05,4130451,6
416,Duro y Suave,"Leslie Grace, Noriel",Chile,2018-05,3411399,7
417,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Chile,2018-05,3409751,8
418,Sin Pijama,"Becky G, Natti Natasha",Chile,2018-05,3311244,9
419,Por Perro,"Sebastian Yatra, Luis Figueroa, Lary Over",Chile,2018-05,3200726,10
420,Calma - Remix,"Pedro Capó, Farruko",Chile,2019-01,9679118,1
421,No Te Enamores,Paloma Mami,Chile,2019-01,8855422,2
422,Amanece,"Anuel AA, Haze",Chile,2019-01,8714270,3
423,Adan y Eva,Paulo Londra,Chile,2019-01,8342789,4
424,Not Steady,Paloma Mami,Chile,2019-01,6487026,5
425,MIA (feat. Drake),Bad Bunny,Chile,2019-01,6452317,6
426,Adictiva,"Daddy Yankee, Anuel AA",Chile,2019-01,6447120,7
427,Imposible,"Luis Fonsi, Ozuna",Chile,2019-01,5262050,8
428,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Chile,2019-01,5041194,9
429,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",Chile,2019-01,4810972,10
430,Bandido,"Myke Towers, Juhn",Chile,2021-02,9485234,1
431,DÁKITI,"Bad Bunny, Jhay Cortez",Chile,2021-02,8368161,2
432,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Chile,2021-02,6963925,3
433,Hecha Pa' Mi,Boza,Chile,2021-02,6712559,4
434,BICHOTA,KAROL G,Chile,2021-02,6556310,5
435,Reloj,"Rauw Alejandro, Anuel AA",Chile,2021-02,5575262,6
436,Polvo,"Nicky Jam, Myke Towers",Chile,2021-02,5103813,7
437,TE MUDASTE,Bad Bunny,Chile,2021-02,4924092,8
438,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Chile,2021-02,4816792,9
439,No Te Enamores - Remix,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",Chile,2021-02,4721431,10
440,X,"Nicky Jam, J Balvin",Colombia,2018-04,2051899,1
441,La player (Bandolera),Zion & Lennox,Colombia,2018-04,1810495,2
442,Me Niego (feat. Ozuna & Wisin),Reik,Colombia,2018-04,1619667,3
443,Bella,Wolfine,Colombia,2018-04,1553347,4
444,Te Amo,"Piso 21, Paulo Londra",Colombia,2018-04,1538515,5
445,Dura,Daddy Yankee,Colombia,2018-04,1409278,6
446,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Colombia,2018-04,1402252,7
447,No Hay Nadie Más,Sebastian Yatra,Colombia,2018-04,1182307,8
448,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Colombia,2018-04,1170343,9
449,Esperándote,Manuel Turizo,Colombia,2018-04,1129731,10
450,Tusa,"KAROL G, Nicki Minaj",Colombia,2019-12,2908729,1
451,Fantasias,"Rauw Alejandro, Farruko",Colombia,2019-12,2188732,2
452,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",Colombia,2019-12,1976637,3
453,Blanco,J Balvin,Colombia,2019-12,1767810,4
454,LA CANCIÓN,"J Balvin, Bad Bunny",Colombia,2019-12,1746136,5
455,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Colombia,2019-12,1686374,6
456,Vete,Bad Bunny,Colombia,2019-12,1663176,7
457,Loco,Beéle,Colombia,2019-12,1530179,8
458,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Colombia,2019-12,1481207,9
459,Quizas,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Colombia,2019-12,1474384,10
460,Rojo,J Balvin,Colombia,2020-06,1890770,1
461,PORFA,"Feid, Justin Quiles",Colombia,2020-06,1811967,2
462,Relación,Sech,Colombia,2020-06,1483184,3
463,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez",Colombia,2020-06,1466612,4
464,Azul,J Balvin,Colombia,2020-06,1404274,5
465,Amarillo,J Balvin,Colombia,2020-06,1390303,6
466,Tattoo,Rauw Alejandro,Colombia,2020-06,1365525,7
467,Favorito,Camilo,Colombia,2020-06,1348208,8
468,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",Colombia,2020-06,1345175,9
469,Morado,J Balvin,Colombia,2020-06,1280814,10
470,DÁKITI,"Bad Bunny, Jhay Cortez",Colombia,2021-02,3026477,1
471,Bandido,"Myke Towers, Juhn",Colombia,2021-02,2939042,2
472,BICHOTA,KAROL G,Colombia,2021-02,2447980,3
473,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Colombia,2021-02,2427388,4
474,Hecha Pa' Mi,Boza,Colombia,2021-02,2024832,5
475,Reloj,"Rauw Alejandro, Anuel AA",Colombia,2021-02,1999170,6
476,CHIMBITA,"Feid, Sky Rompiendo",Colombia,2021-02,1957510,7
477,Hawái,Maluma,Colombia,2021-02,1914950,8
478,La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",Colombia,2021-02,1859255,9
479,Una Locura,"Ozuna, J Balvin, Chencho Corleone",Colombia,2021-02,1602939,10
480,Me Rehúso,Danny Ocean,Costa Rica,2017-06,692669,1
481,Shape of You,Ed Sheeran,Costa Rica,2017-06,681784,2
482,Felices los 4,Maluma,Costa Rica,2017-06,667794,3
483,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Costa Rica,2017-06,566182,4
484,Escápate Conmigo,"Wisin, Ozuna",Costa Rica,2017-06,460978,5
485,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Costa Rica,2017-06,432944,6
486,Hey DJ,"CNCO, Yandel",Costa Rica,2017-06,418722,7
487,Despacito (Featuring Daddy Yankee),Luis Fonsi,Costa Rica,2017-06,408651,8
488,Otra vez (feat. J Balvin),Zion & Lennox,Costa Rica,2017-06,337479,9
489,El Amante,Nicky Jam,Costa Rica,2017-06,331331,10
490,Mi Gente,"J Balvin, Willy William",Costa Rica,2017-07,760070,1
491,Me Rehúso,Danny Ocean,Costa Rica,2017-07,725222,2
492,Felices los 4,Maluma,Costa Rica,2017-07,651784,3
493,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Costa Rica,2017-07,601077,4
494,Shape of You,Ed Sheeran,Costa Rica,2017-07,578841,5
495,Escápate Conmigo,"Wisin, Ozuna",Costa Rica,2017-07,563000,6
496,Hey DJ,"CNCO, Yandel",Costa Rica,2017-07,459971,7
497,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Costa Rica,2017-07,424531,8
498,Despacito (Featuring Daddy Yankee),Luis Fonsi,Costa Rica,2017-07,359245,9
499,Otra vez (feat. J Balvin),Zion & Lennox,Costa Rica,2017-07,342548,10
500,Mi Gente,"J Balvin, Willy William",Costa Rica,2017-08,841776,1
501,Una Lady Como Tú,Manuel Turizo,Costa Rica,2017-08,658066,2
502,Me Rehúso,Danny Ocean,Costa Rica,2017-08,657350,3
503,Escápate Conmigo,"Wisin, Ozuna",Costa Rica,2017-08,568489,4
504,Felices los 4,Maluma,Costa Rica,2017-08,552066,5
505,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Costa Rica,2017-08,541963,6
506,Shape of You,Ed Sheeran,Costa Rica,2017-08,491480,7
507,Hey DJ,"CNCO, Yandel",Costa Rica,2017-08,388582,8
508,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Costa Rica,2017-08,367917,9
509,Bonita,"J Balvin, Jowell & Randy",Costa Rica,2017-08,361610,10
510,Fantasias,"Rauw Alejandro, Farruko",Costa Rica,2019-11,858720,1
511,Si Te Vas,"Sech, Ozuna",Costa Rica,2019-11,761410,2
512,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Costa Rica,2019-11,746724,3
513,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",Costa Rica,2019-11,740008,4
514,Que Tire Pa Lante,Daddy Yankee,Costa Rica,2019-11,674331,5
515,LA CANCIÓN,"J Balvin, Bad Bunny",Costa Rica,2019-11,650732,6
516,Bellaquita,"Dalex, Lenny Tavárez",Costa Rica,2019-11,589715,7
517,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Costa Rica,2019-11,588638,8
518,Tusa,"KAROL G, Nicki Minaj",Costa Rica,2019-11,587229,9
519,Adicto (with Anuel AA & Ozuna),Tainy,Costa Rica,2019-11,577430,10
520,DÁKITI,"Bad Bunny, Jhay Cortez",Costa Rica,2020-12,1639183,1
521,BICHOTA,KAROL G,Costa Rica,2020-12,1166076,2
522,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Costa Rica,2020-12,970524,3
523,Hawái,Maluma,Costa Rica,2020-12,843211,4
524,Hecha Pa' Mi,Boza,Costa Rica,2020-12,822094,5
525,Chica Ideal,"Sebastian Yatra, Guaynaa",Costa Rica,2020-12,781618,6
526,La Tóxica,Farruko,Costa Rica,2020-12,741413,7
527,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Costa Rica,2020-12,706140,8
528,Vida de Rico,Camilo,Costa Rica,2020-12,626136,9
529,Jeans,Justin Quiles,Costa Rica,2020-12,626043,10
530,Shape of You,Ed Sheeran,Czech Republic,2017-04,458320,1
531,Something Just Like This,"The Chainsmokers, Coldplay",Czech Republic,2017-04,333509,2
532,It Ain't Me (with Selena Gomez),Kygo,Czech Republic,2017-04,307323,3
533,Symphony (feat. Zara Larsson),Clean Bandit,Czech Republic,2017-04,267562,4
534,Stay (with Alessia Cara),Zedd,Czech Republic,2017-04,262064,5
535,Believer,Imagine Dragons,Czech Republic,2017-04,252736,6
536,Galway Girl,Ed Sheeran,Czech Republic,2017-04,245552,7
537,Paris,The Chainsmokers,Czech Republic,2017-04,217702,8
538,Scared to Be Lonely,"Martin Garrix, Dua Lipa",Czech Republic,2017-04,203518,9
539,Solo Dance,Martin Jensen,Czech Republic,2017-04,198305,10
540,Señorita,"Shawn Mendes, Camila Cabello",Czech Republic,2019-08,684788,1
541,bad guy,Billie Eilish,Czech Republic,2019-08,461216,2
542,Až na měsíc,"Viktor Sheen, Nik Tendo, Calin, Hasan",Czech Republic,2019-08,426231,3
543,Beautiful People (feat. Khalid),Ed Sheeran,Czech Republic,2019-08,418570,4
544,Piece Of Your Heart,"MEDUZA, Goodboys",Czech Republic,2019-08,402244,5
545,Someone You Loved,Lewis Capaldi,Czech Republic,2019-08,357527,6
546,I Don't Care (with Justin Bieber),Ed Sheeran,Czech Republic,2019-08,355798,7
547,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",Czech Republic,2019-08,337653,8
548,Goodbyes (Feat. Young Thug),Post Malone,Czech Republic,2019-08,316930,9
549,Lalala,"Y2K, bbno$",Czech Republic,2019-08,295650,10
550,Señorita,"Shawn Mendes, Camila Cabello",Czech Republic,2019-09,559488,1
551,Dance Monkey,Tones And I,Czech Republic,2019-09,453827,2
552,Až na měsíc,"Viktor Sheen, Nik Tendo, Calin, Hasan",Czech Republic,2019-09,441143,3
553,bad guy,Billie Eilish,Czech Republic,2019-09,435331,4
554,Circles,Post Malone,Czech Republic,2019-09,402757,5
555,Beautiful People (feat. Khalid),Ed Sheeran,Czech Republic,2019-09,389169,6
556,Someone You Loved,Lewis Capaldi,Czech Republic,2019-09,382981,7
557,Lalala,"Y2K, bbno$",Czech Republic,2019-09,381609,8
558,Piece Of Your Heart,"MEDUZA, Goodboys",Czech Republic,2019-09,341006,9
559,Goodbyes (Feat. Young Thug),Post Malone,Czech Republic,2019-09,308656,10
560,Oui,"Sivas, NODE, Gilli",Denmark,2018-06,3471501,1
561,Kom Over,KESI,Denmark,2018-06,2994949,2
562,Better Now,Post Malone,Denmark,2018-06,2418075,3
563,One Kiss (with Dua Lipa),Calvin Harris,Denmark,2018-06,2094850,4
564,Youngblood,5 Seconds of Summer,Denmark,2018-06,1902178,5
565,Holder Fast,"Hennedub, Gilli, Lukas Graham",Denmark,2018-06,1877033,6
566,Jackie Chan,"Tiësto, Dzeko, Preme, Post Malone",Denmark,2018-06,1793309,7
567,Solo (feat. Demi Lovato),Clean Bandit,Denmark,2018-06,1725646,8
568,SAD!,XXXTENTACION,Denmark,2018-06,1619521,9
569,Drama (feat. Sivas),ZK,Denmark,2018-06,1582748,10
570,Wow.,Post Malone,Denmark,2019-01,2252429,1
571,Kolde Nætter,Gilli,Denmark,2019-01,2066543,2
572,Shallow,"Lady Gaga, Bradley Cooper",Denmark,2019-01,1899299,3
573,Sweet but Psycho,Ava Max,Denmark,2019-01,1853915,4
574,X,KESI,Denmark,2019-01,1838953,5
575,Without Me,Halsey,Denmark,2019-01,1670036,6
576,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Denmark,2019-01,1523375,7
577,JUNGLE,MellemFingaMuzik,Denmark,2019-01,1250881,8
578,Love Someone,Lukas Graham,Denmark,2019-01,1234279,9
579,Be Alright,Dean Lewis,Denmark,2019-01,1217153,10
580,Super Mario,NODE,Denmark,2019-10,3196868,1
581,London Town,"Branco, Gilli",Denmark,2019-10,2755795,2
582,Dance Monkey,Tones And I,Denmark,2019-10,2720687,3
583,HIGHEST IN THE ROOM,Travis Scott,Denmark,2019-10,1868839,4
584,Circles,Post Malone,Denmark,2019-10,1789094,5
585,BDK (feat. Gilli),KESI,Denmark,2019-10,1710999,6
586,Lie,Lukas Graham,Denmark,2019-10,1652258,7
587,Ride It,Regard,Denmark,2019-10,1582457,8
588,"Endnu (feat. Gilli, Benny Jamz & Branco)",Stepz,Denmark,2019-10,1539667,9
589,"10,000 Hours (with Justin Bieber)",Dan + Shay,Denmark,2019-10,1331746,10
590,VERDEN VENDER,"Branco, Gilli",Denmark,2019-11,2720171,1
591,London Town,"Branco, Gilli",Denmark,2019-11,2166350,2
592,Dance Monkey,Tones And I,Denmark,2019-11,2153099,3
593,Super Mario,NODE,Denmark,2019-11,2088500,4
594,Kærlighed (feat. Gilli & Kesi),ATYPISK,Denmark,2019-11,1697903,5
595,Ben,Tessa,Denmark,2019-11,1640538,6
596,Circles,Post Malone,Denmark,2019-11,1431756,7
597,Ride It,Regard,Denmark,2019-11,1382495,8
598,Balou,Benny Jamz,Denmark,2019-11,1355914,9
599,Don't Start Now,Dua Lipa,Denmark,2019-11,1213805,10
600,Kærlighed (feat. Gilli & Kesi),ATYPISK,Denmark,2019-12,2277426,1
601,Last Christmas,Wham!,Denmark,2019-12,2037069,2
602,All I Want for Christmas Is You,Mariah Carey,Denmark,2019-12,2035071,3
603,Tinka,"Burhan G, Frida Brygmann",Denmark,2019-12,1861188,4
604,Dance Monkey,Tones And I,Denmark,2019-12,1706445,5
605,Santa Tell Me,Ariana Grande,Denmark,2019-12,1538338,6
606,London Town,"Branco, Gilli",Denmark,2019-12,1533994,7
607,Roses - Imanbek Remix,SAINt JHN,Denmark,2019-12,1497565,8
608,VERDEN VENDER,"Branco, Gilli",Denmark,2019-12,1486944,9
609,Blinding Lights,The Weeknd,Denmark,2019-12,1450382,10
610,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Denmark,2021-04,2746456,1
611,MONTERO (Call Me By Your Name),Lil Nas X,Denmark,2021-04,2188114,2
612,Buongiorno,KIDD,Denmark,2021-04,1779274,3
613,Hold On,Justin Bieber,Denmark,2021-04,1544411,4
614,MCQUEEN,"RH, Branco",Denmark,2021-04,1488748,5
615,Wawa,"Benny Jamz, Gilli, KESI, B.O.C",Denmark,2021-04,1346197,6
616,RAPSTAR,Polo G,Denmark,2021-04,1327970,7
617,Broke,Branco,Denmark,2021-04,1305766,8
618,Vibes,"NODE, Gilli",Denmark,2021-04,1281301,9
619,Save Your Tears,The Weeknd,Denmark,2021-04,1185232,10
620,Buongiorno,KIDD,Denmark,2021-05,2278696,1
621,Kiss Me More (feat. SZA),Doja Cat,Denmark,2021-05,1936648,2
622,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Denmark,2021-05,1916997,3
623,Kærlighed,Gilli,Denmark,2021-05,1768110,4
624,MONTERO (Call Me By Your Name),Lil Nas X,Denmark,2021-05,1709567,5
625,MCQUEEN,"RH, Branco",Denmark,2021-05,1582210,6
626,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions",Denmark,2021-05,1468330,7
627,good 4 u,Olivia Rodrigo,Denmark,2021-05,1323569,8
628,RAPSTAR,Polo G,Denmark,2021-05,1271751,9
629,Levitating (feat. DaBaby),Dua Lipa,Denmark,2021-05,1245361,10
630,"Er Her (Artigeardit, KESI)",Artigeardit,Denmark,2021-06,2800568,1
631,good 4 u,Olivia Rodrigo,Denmark,2021-06,2456309,2
632,Hajde,"Benny Jamz, Gilli, KESI, B.O.C",Denmark,2021-06,2394577,3
633,Buongiorno,KIDD,Denmark,2021-06,2293029,4
634,Ibiza,"Benny Jamz, Gilli, KESI, B.O.C",Denmark,2021-06,1886030,5
635,I WANNA BE YOUR SLAVE,Måneskin,Denmark,2021-06,1570068,6
636,Helt Sikker,Gulddreng,Denmark,2021-06,1518405,7
637,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Denmark,2021-06,1506998,8
638,Kiss Me More (feat. SZA),Doja Cat,Denmark,2021-06,1465712,9
639,MCQUEEN,"RH, Branco",Denmark,2021-06,1389843,10
640,Despacito (Featuring Daddy Yankee),Luis Fonsi,Dominican Republic,2017-02,483795,1
641,Shape of You,Ed Sheeran,Dominican Republic,2017-02,266919,2
642,El Amante,Nicky Jam,Dominican Republic,2017-02,240976,3
643,Soy Peor,Bad Bunny,Dominican Republic,2017-02,238128,4
644,Chantaje (feat. Maluma),Shakira,Dominican Republic,2017-02,222655,5
645,Caile (feat. Zion & De La Ghetto),"Revol, Bad Bunny, Bryant Myers",Dominican Republic,2017-02,219540,6
646,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Dominican Republic,2017-02,203338,7
647,Otra vez (feat. J Balvin),Zion & Lennox,Dominican Republic,2017-02,185050,8
648,Pa Ti,"Bad Bunny, Bryant Myers",Dominican Republic,2017-02,183911,9
649,Reggaetón Lento (Bailemos),CNCO,Dominican Republic,2017-02,169541,10
650,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Dominican Republic,2018-05,574017,1
651,Madura (feat. Bad Bunny),Cosculluela,Dominican Republic,2018-05,350791,2
652,La player (Bandolera),Zion & Lennox,Dominican Republic,2018-05,319332,3
653,X,"Nicky Jam, J Balvin",Dominican Republic,2018-05,299086,4
654,I Like It,"Cardi B, Bad Bunny, J Balvin",Dominican Republic,2018-05,256643,5
655,Dura - Remix,"Daddy Yankee, Natti Natasha, Becky G, Bad Bunny",Dominican Republic,2018-05,242324,6
656,Me Niego (feat. Ozuna & Wisin),Reik,Dominican Republic,2018-05,230749,7
657,Unica,Ozuna,Dominican Republic,2018-05,228940,8
658,Bipolar,"Chris Jedi, Ozuna, Brytiago",Dominican Republic,2018-05,223446,9
659,Loca Remix,"KHEA, Bad Bunny, Duki, Cazzu",Dominican Republic,2018-05,215390,10
660,Bubalu,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",Dominican Republic,2018-12,461411,1
661,MIA (feat. Drake),Bad Bunny,Dominican Republic,2018-12,434701,2
662,Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",Dominican Republic,2018-12,374797,3
663,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Dominican Republic,2018-12,364045,4
664,Solo de Mi,Bad Bunny,Dominican Republic,2018-12,354575,5
665,Adictiva,"Daddy Yankee, Anuel AA",Dominican Republic,2018-12,315311,6
666,Vaina Loca,"Ozuna, Manuel Turizo",Dominican Republic,2018-12,312813,7
667,Culpables,"KAROL G, Anuel AA",Dominican Republic,2018-12,311408,8
668,Ibiza,"Ozuna, Romeo Santos",Dominican Republic,2018-12,298659,9
669,Está Rico,"Marc Anthony, Will Smith, Bad Bunny",Dominican Republic,2018-12,267864,10
670,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Dominican Republic,2019-09,495960,1
671,LA CANCIÓN,"J Balvin, Bad Bunny",Dominican Republic,2019-09,491858,2
672,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Dominican Republic,2019-09,452426,3
673,Adicto (with Anuel AA & Ozuna),Tainy,Dominican Republic,2019-09,413236,4
674,Callaita,"Bad Bunny, Tainy",Dominican Republic,2019-09,402106,5
675,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Dominican Republic,2019-09,349833,6
676,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna",Dominican Republic,2019-09,345057,7
677,QUE PRETENDES,"J Balvin, Bad Bunny",Dominican Republic,2019-09,339615,8
678,Tutu,"Camilo, Pedro Capó",Dominican Republic,2019-09,317340,9
679,Gan-Ga,Bryant Myers,Dominican Republic,2019-09,289924,10
680,Yo Perreo Sola,Bad Bunny,Dominican Republic,2020-05,405727,1
681,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",Dominican Republic,2020-05,363687,2
682,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",Dominican Republic,2020-05,352773,3
683,BYE ME FUI,Bad Bunny,Dominican Republic,2020-05,318465,4
684,Ignorantes,"Bad Bunny, Sech",Dominican Republic,2020-05,311047,5
685,Tattoo,Rauw Alejandro,Dominican Republic,2020-05,296349,6
686,La Difícil,Bad Bunny,Dominican Republic,2020-05,282532,7
687,Favorito,Camilo,Dominican Republic,2020-05,275838,8
688,La Santa,"Bad Bunny, Daddy Yankee",Dominican Republic,2020-05,268946,9
689,Diosa,Myke Towers,Dominican Republic,2020-05,265715,10
